title,company,location,link
2021 Market Data Analyst - Seoul,Bloomberg,서울,https://kr.indeed.com/rc/clk?jk=e8a4630bec0783e8&fccid=f770da67b3b51c62&vjs=3
Data Scientist,Motion2AI,서울,https://kr.indeed.com/rc/clk?jk=3202bf1a79e70cb2&fccid=35f6dee5a4adf138&vjs=3
[K디지털무료교육] 빅데이터분석 AI활용 디지털트랜스포메이션 교육생 (2차),한경닷컴,서울 영등포구,https://kr.indeed.com/rc/clk?jk=d506db8d8e7637bd&fccid=0e1d9d6c793547d9&vjs=3
전문연구요원 (병역특례) 수시 (AI / HW 분야),딥엑스,성남 분당구,https://kr.indeed.com/rc/clk?jk=78e99625e5de3c95&fccid=e34932b8232a173b&vjs=3
(주)케이피엔 2021년 상반기 - 웹 개발,케이피엔,성남 분당구,https://kr.indeed.com/rc/clk?jk=39371de8f58f18d5&fccid=a138eeda26523440&vjs=3
[넥슨·엔씨소프트등] 자바·파이썬 응용SW 개발자 양성교육 · 동종업계 신입 초봉5천1,한국직업전문학교,서울 구로구,https://kr.indeed.com/rc/clk?jk=4698c0e2364b5576&fccid=6007d6f6e2003d79&vjs=3
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/rc/clk?jk=55a19c92c845685e&fccid=74d05cee5b52f133&vjs=3
애플리케이션 보안컨설팅,NHN,성남 판교역,https://kr.indeed.com/rc/clk?jk=fce04ed9777c8bed&fccid=a72ebaf825acf7af&vjs=3
Applied Data Scientist,dunnhumby,서울,https://kr.indeed.com/rc/clk?jk=f10a132f53b6307d&fccid=36801496409e6dc9&vjs=3
[이마트] 이마트 Data Scientist 경력직 모집,신세계,대한민국,https://kr.indeed.com/rc/clk?jk=106e2372b51da4be&fccid=eed009678593e037&vjs=3
[Janssen] Data Scientist,Johnson & Johnson Family of Companies,서울,https://kr.indeed.com/rc/clk?jk=4bd70fb8a220d90d&fccid=0bed8e17bc113980&vjs=3
신한AI 인공지능(AI) 인력,신한에이아이,서울 영등포구,https://kr.indeed.com/rc/clk?jk=a2b8aae664300392&fccid=1b0866e30930a45e&vjs=3
사내 및 서비스 보안 담당자 (경력),네오위즈,대한민국,https://kr.indeed.com/rc/clk?jk=cd40cf786e32f325&fccid=a4f571f3a628be3e&vjs=3
21년 전문연구요원 (AI엔지니어),Nexon,성남 분당구,https://kr.indeed.com/rc/clk?jk=69ab0f58743cb713&fccid=aba87288e4cc3687&vjs=3
[웹젠] 게임보안(경력),웹젠,성남 분당구,https://kr.indeed.com/rc/clk?jk=dd225d5ae97842c0&fccid=6e2a9dddd86c4648&vjs=3
추천 통계분석/데이터사이언티스트,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=bfe0f5ac4f32ec89&fccid=32b9af632cf3b9f9&vjs=3
[지식베이스] Knowledge Base Applications (신입),네이버,서울,https://kr.indeed.com/rc/clk?jk=23dfc13905f7fcc0&fccid=412ff571bced2587&vjs=3
데이터 분야 경력,LG CNS,서울,https://kr.indeed.com/rc/clk?jk=010d38b18b07b6bb&fccid=9635ff240e3de5f6&vjs=3
"Engr, Apps Dev 2",KLA-Tencor,대한민국,https://kr.indeed.com/rc/clk?jk=ab38178e6071aa0f&fccid=c8fc142c28286059&vjs=3
[헥스콘] 2021년 상반기 백엔드 서버 개발자,헥스콘,창원 의창구,https://kr.indeed.com/rc/clk?jk=f565607a390f8b13&fccid=cb62b5065e990971&vjs=3
Data Analytics 컨설턴트 - 글로벌 컨설팅Firm,에스에프인촌,서울,https://kr.indeed.com/rc/clk?jk=6b33de463ebe507d&fccid=629bf66c8ed71fe3&vjs=3
메이저 대기업 그룹 IT 리딩기업- AI 직무관련 다수 [과장급이상/처우최상수준으로 진행],yesconsulting,서울 종로구,https://kr.indeed.com/rc/clk?jk=6608915704699af1&fccid=95f6edc4ba4b1c25&vjs=3
와이에스지(스타트업) 웹 개발자,와이에스지,세종특별자치시,https://kr.indeed.com/rc/clk?jk=3903a7bb4eefe576&fccid=a0776cb17b2784f5&vjs=3
AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스,서울,https://kr.indeed.com/rc/clk?jk=be95b5718905880f&fccid=6c9206aa5a609175&vjs=3
메시지발송 플랫폼 개발자,Nexon,성남 분당구,https://kr.indeed.com/rc/clk?jk=eaee1538d8cc832f&fccid=aba87288e4cc3687&vjs=3
추천 시스템 소프트웨어 엔지니어,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=07375dc4e800dfa9&fccid=32b9af632cf3b9f9&vjs=3
HE Cryptographer,Intel,서울,https://kr.indeed.com/rc/clk?jk=bd71e33adadfe4ac&fccid=f1374be6a45f4b8a&vjs=3
한화손해보험_디지털전략팀 경력 채용,한화그룹,서울,https://kr.indeed.com/rc/clk?jk=a7e7823c3f0ad866&fccid=bd0dc1817223394f&vjs=3
Field Application Engineer,"Quectel Wireless Solution Co,.LTD",경기도 성남,"https://kr.indeed.com/company/Quectel-Wireless-Solution-Co,.LTD/jobs/Field-Application-Engineer-68c314d4a02b84a6?fccid=08da457acaf95bc8&vjs=3"
[빅데이터분석] 데이터 사업 기획 및 운영 담당자,한국카카오은행,성남 분당구,https://kr.indeed.com/rc/clk?jk=f258bcb2c6f24dc9&fccid=aea6a13a3459fdb2&vjs=3
(주)아이옵스 소프트웨어 개발자,아이옵스,대전 유성구,https://kr.indeed.com/rc/clk?jk=d0e25e778a071c50&fccid=dbcbf1153e0db6f9&vjs=3
[상시 ] Data Scientist (대리급/과-차장급/정규직),라이나생명보험,서울 종로구,https://kr.indeed.com/rc/clk?jk=e9ac1a8708b8e784&fccid=ecbbeac4938b074a&vjs=3
Data Scientist,Garrett Advancing Motion,경기도,https://kr.indeed.com/rc/clk?jk=da5d4dd560fb6f85&fccid=d9bafbf876cd0b62&vjs=3
